FeedbackID,Title,Category,FeedbackText,PlainText,Tags,DisplayOrder,HasAttachment,AltText,AccessibilityNotes
F14,Improve paragraph structure,Structure,"Some paragraphs in your essay tried to cover too many ideas at once. Aim for one main point per paragraph: a topic sentence, supporting evidence, analysis, and a linking sentence to the next paragraph.","Some paragraphs in your essay tried to cover too many ideas at once. Aim for one main point per paragraph: a topic sentence, supporting evidence, analysis, and a linking sentence to the next paragraph.","paragraphs,topic-sentences,clarity",20,No,,
F15,Strong introduction framing,Structure,"Your introduction effectively framed the question, defined key terms, and outlined the structure of your argument. This gave the reader a clear roadmap for what followed.","Your introduction effectively framed the question, defined key terms, and outlined the structure of your argument. This gave the reader a clear roadmap for what followed.","introduction,framing,definitions",30,No,,
F16,Conclusion needs development,Structure,"Your conclusion was brief and did not fully synthesise your arguments. A strong conclusion should summarise your key findings, state how they answer the question, and suggest implications or areas for further research.","Your conclusion was brief and did not fully synthesise your arguments. A strong conclusion should summarise your key findings, state how they answer the question, and suggest implications or areas for further research.","conclusion,synthesis,implications",40,No,,
F17,Clear and concise writing style,Writing,"Your writing is clear, concise, and appropriately academic in tone. You avoid unnecessary jargon while still using technical terminology accurately. This is a real strength of your work.","Your writing is clear, concise, and appropriately academic in tone. You avoid unnecessary jargon while still using technical terminology accurately. This is a real strength of your work.","clarity,tone,academic-writing",10,No,,
F18,Improve academic tone,Writing,"Parts of your essay used informal language that is not appropriate for academic writing. Avoid phrases like ""a lot of"" or ""basically"" and replace them with more precise academic alternatives such as ""a substantial body of"" or ""fundamentally.""","Parts of your essay used informal language that is not appropriate for academic writing. Avoid phrases like ""a lot of"" or ""basically"" and replace them with more precise academic alternatives such as ""a substantial body of"" or ""fundamentally.""","tone,formality,precision",20,No,,
F19,Good use of technical terminology,Writing,"You used psychological terminology accurately and consistently throughout your report. Terms like ""operationalisation,"" ""ecological validity,"" and ""confounding variable"" were applied correctly in context.","You used psychological terminology accurately and consistently throughout your report. Terms like ""operationalisation,"" ""ecological validity,"" and ""confounding variable"" were applied correctly in context.","terminology,accuracy,vocabulary",30,No,,
F20,Proofread for clarity,Writing,"There are several sentences in your essay that are unclear due to grammatical errors or overly long constructions. I recommend reading your work aloud before submitting -- this often helps identify sentences that need simplifying.","There are several sentences in your essay that are unclear due to grammatical errors or overly long constructions. I recommend reading your work aloud before submitting -- this often helps identify sentences that need simplifying.","proofreading,grammar,clarity",40,No,,
F21,Accurate APA referencing,Referencing,"Your reference list is accurately formatted in APA 7th edition style, and your in-text citations are consistently and correctly placed. This is an important academic skill that you have clearly mastered.","Your reference list is accurately formatted in APA 7th edition style, and your in-text citations are consistently and correctly placed. This is an important academic skill that you have clearly mastered.","APA,citations,reference-list",10,No,,
F22,Inconsistent citation format,Referencing,"Your in-text citations are inconsistently formatted. Remember: for one or two authors, cite both names every time. For three or more authors, use the first author followed by ""et al."" from the first citation. Check the APA 7th edition guidelines.","Your in-text citations are inconsistently formatted. Remember: for one or two authors, cite both names every time. For three or more authors, use the first author followed by ""et al."" from the first citation. Check the APA 7th edition guidelines.","APA,format,consistency",20,No,,
F23,Broaden source range,Referencing,"You relied heavily on textbook sources. To strengthen your work, include peer-reviewed journal articles -- aim for at least five primary sources per 2000-word essay. Use databases like PsycINFO or Google Scholar.","You relied heavily on textbook sources. To strengthen your work, include peer-reviewed journal articles -- aim for at least five primary sources per 2000-word essay. Use databases like PsycINFO or Google Scholar.","sources,journals,PsycINFO",30,No,,
F24,Missing references,Referencing,"Several claims in your essay were not supported by citations. Every factual claim or theoretical statement that is not common knowledge needs a reference. Unreferenced claims weaken your argument significantly.","Several claims in your essay were not supported by citations. Every factual claim or theoretical statement that is not common knowledge needs a reference. Unreferenced claims weaken your argument significantly.","missing-citations,evidence,academic-integrity",40,No,,
F25,Prepare for the next assignment,Next Steps,"For your upcoming essay on developmental psychology, start by reviewing the marking criteria and planning your structure before you begin writing. Allocate time for at least two drafts.","For your upcoming essay on developmental psychology, start by reviewing the marking criteria and planning your structure before you begin writing. Allocate time for at least two drafts.","planning,time-management,drafts",10,No,,
F26,Visit the Academic Skills Centre,Next Steps,"I recommend booking a session with the Academic Skills Centre to work on your essay planning and critical writing techniques. They offer one-to-one appointments and drop-in workshops.","I recommend booking a session with the Academic Skills Centre to work on your essay planning and critical writing techniques. They offer one-to-one appointments and drop-in workshops.","support,skills-centre,workshops",20,No,,
F27,Engage with feedback,Next Steps,"Take time to read through all your feedback comments carefully. Identify one or two areas to focus on for your next piece of work, and keep a note of the progress you make. Feedback is most useful when you act on it.","Take time to read through all your feedback comments carefully. Identify one or two areas to focus on for your next piece of work, and keep a note of the progress you make. Feedback is most useful when you act on it.","reflection,improvement,action-plan",30,No,,
F28,Set up a study group,Next Steps,"Consider forming a study group with your peers. Discussing psychological theories with others helps deepen understanding and exposes you to different perspectives that can enrich your own thinking.","Consider forming a study group with your peers. Discussing psychological theories with others helps deepen understanding and exposes you to different perspectives that can enrich your own thinking.","peer-learning,study-group,collaboration",40,No,,
F29,Outstanding work overall,Overall,"This was an outstanding piece of work that demonstrated deep understanding, critical analysis, and clear communication. You should be very pleased with your progress. Keep up this standard.","This was an outstanding piece of work that demonstrated deep understanding, critical analysis, and clear communication. You should be very pleased with your progress. Keep up this standard.","excellent,praise,progress",10,No,,
F30,Good progress this term,Overall,"You have made good progress this term. Your understanding of core psychological concepts is solid, and with further development of your critical analysis skills, you are well placed to achieve strong marks going forward.","You have made good progress this term. Your understanding of core psychological concepts is solid, and with further development of your critical analysis skills, you are well placed to achieve strong marks going forward.","progress,encouraging,potential",20,No,,
F31,Satisfactory but room to improve,Overall,"Your work meets the basic requirements but there is significant room for improvement. Focus on the specific areas highlighted above, and do come to office hours if you would like to discuss strategies for raising your grade.","Your work meets the basic requirements but there is significant room for improvement. Focus on the specific areas highlighted above, and do come to office hours if you would like to discuss strategies for raising your grade.","satisfactory,improvement,office-hours",30,No,,
F32,Concerns about progress,Overall,"I have some concerns about your progress this term. Please do make an appointment to see me during office hours so we can discuss a plan to help you get back on track. Support is available and I want to make sure you access it.","I have some concerns about your progress this term. Please do make an appointment to see me during office hours so we can discuss a plan to help you get back on track. Support is available and I want to make sure you access it.","concerns,support,meeting",40,No,,
F33,Strong topic sentence (Point),PEEL Structure,"Your paragraph opens with a clear and focused topic sentence that tells the reader exactly what the paragraph will argue. For example, your sentence 'Bowlby's attachment theory provides a compelling explanation for the long-term effects of early caregiving on emotional development' immediately establishes the argument and sets up the rest of the paragraph effectively. This is exactly how a PEEL paragraph should begin.","Your paragraph opens with a clear and focused topic sentence that tells the reader exactly what the paragraph will argue. For example, your sentence 'Bowlby's attachment theory provides a compelling explanation for the long-term effects of early caregiving on emotional development' immediately establishes the argument and sets up the rest of the paragraph effectively. This is exactly how a PEEL paragraph should begin.","PEEL,point,topic-sentence,paragraph",10,No,,
F34,Topic sentence needs focus (Point),PEEL Structure,"Your paragraph begins too broadly and does not clearly state what the paragraph will argue. For example, writing 'There are many theories about attachment' does not give the reader a specific direction. A stronger topic sentence would be: 'Bowlby's attachment theory suggests that disrupted early bonds can lead to lasting difficulties in emotional regulation.' Notice how the revised version names the theory, states a specific claim, and signals what evidence will follow.","Your paragraph begins too broadly and does not clearly state what the paragraph will argue. For example, writing 'There are many theories about attachment' does not give the reader a specific direction. A stronger topic sentence would be: 'Bowlby's attachment theory suggests that disrupted early bonds can lead to lasting difficulties in emotional regulation.' Notice how the revised version names the theory, states a specific claim, and signals what evidence will follow.","PEEL,point,topic-sentence,improvement",20,No,,
F35,Effective use of evidence (Evidence),PEEL Structure,"You support your point with well-chosen evidence that directly strengthens your argument. For example, you cited 'Hazan and Shaver (1987) found that adults who reported insecure attachment in childhood were significantly more likely to describe their romantic relationships as anxious or avoidant.' This is strong because you named the researchers, described the finding specifically, and chose a study that directly supports your topic sentence about attachment and emotional development.","You support your point with well-chosen evidence that directly strengthens your argument. For example, you cited 'Hazan and Shaver (1987) found that adults who reported insecure attachment in childhood were significantly more likely to describe their romantic relationships as anxious or avoidant.' This is strong because you named the researchers, described the finding specifically, and chose a study that directly supports your topic sentence about attachment and emotional development.","PEEL,evidence,citations,research",30,No,,
F36,Evidence needs strengthening (Evidence),PEEL Structure,"Your paragraph makes claims but does not provide sufficient evidence to support them. For example, you wrote 'Research has shown that attachment affects later relationships' without citing a specific study. A stronger version would be: 'Hazan and Shaver (1987) surveyed 620 adults and found that those with insecure childhood attachment were more likely to report anxiety and avoidance in romantic relationships.' Always name the researchers, describe the method briefly, and state the specific finding.","Your paragraph makes claims but does not provide sufficient evidence to support them. For example, you wrote 'Research has shown that attachment affects later relationships' without citing a specific study. A stronger version would be: 'Hazan and Shaver (1987) surveyed 620 adults and found that those with insecure childhood attachment were more likely to report anxiety and avoidance in romantic relationships.' Always name the researchers, describe the method briefly, and state the specific finding.","PEEL,evidence,citations,improvement",40,No,,
F37,Clear explanation and analysis (Explain),PEEL Structure,"Your explanation effectively connects the evidence back to your argument and shows critical thinking. For example, you wrote: 'This finding supports Bowlby's prediction that internal working models formed in infancy shape expectations in later relationships. However, the reliance on retrospective self-report means participants may have reconstructed their childhood experiences through the lens of their current relationship difficulties.' This is excellent because you explained why the evidence matters and then evaluated its limitations.","Your explanation effectively connects the evidence back to your argument and shows critical thinking. For example, you wrote: 'This finding supports Bowlby's prediction that internal working models formed in infancy shape expectations in later relationships. However, the reliance on retrospective self-report means participants may have reconstructed their childhood experiences through the lens of their current relationship difficulties.' This is excellent because you explained why the evidence matters and then evaluated its limitations.","PEEL,explain,analysis,critical-thinking",50,No,,
F38,Explanation needs depth (Explain),PEEL Structure,"After presenting your evidence, you moved on without explaining what it means or why it matters. For example, after citing Hazan and Shaver's findings, you simply moved to the next study. Instead, you should explain: Why does this evidence support your point? What does it tell us about the theory? Are there any limitations? A stronger explanation would be: 'This suggests that early attachment experiences create internal working models that persist into adulthood, though the correlational design means we cannot confirm a causal relationship between childhood attachment and adult relationship patterns.'","After presenting your evidence, you moved on without explaining what it means or why it matters. For example, after citing Hazan and Shaver's findings, you simply moved to the next study. Instead, you should explain: Why does this evidence support your point? What does it tell us about the theory? Are there any limitations? A stronger explanation would be: 'This suggests that early attachment experiences create internal working models that persist into adulthood, though the correlational design means we cannot confirm a causal relationship between childhood attachment and adult relationship patterns.'","PEEL,explain,analysis,improvement",60,No,,
F39,Strong linking sentence (Link),PEEL Structure,"Your paragraph ends with an effective linking sentence that connects back to the essay question and transitions to the next point. For example, you wrote: 'While attachment theory offers a strong framework for understanding emotional development, it does not fully account for the role of peer relationships, which will be examined in the following section.' This works well because it summarises the paragraph's conclusion, acknowledges a limitation, and signals what comes next.","Your paragraph ends with an effective linking sentence that connects back to the essay question and transitions to the next point. For example, you wrote: 'While attachment theory offers a strong framework for understanding emotional development, it does not fully account for the role of peer relationships, which will be examined in the following section.' This works well because it summarises the paragraph's conclusion, acknowledges a limitation, and signals what comes next.","PEEL,link,transition,paragraph",70,No,,
F40,Linking sentence needs work (Link),PEEL Structure,"Your paragraph ends abruptly without linking back to the essay question or transitioning to the next point. Ending with a piece of evidence or a standalone fact leaves the reader without a sense of closure. A strong linking sentence should do two things: (1) briefly restate how the paragraph's argument answers the essay question, and (2) signal the direction of the next paragraph. For example: 'Although attachment theory provides a useful lens for understanding emotional development, it is important to also consider social learning theory, which emphasises the role of observed behaviour in shaping relationship patterns.'","Your paragraph ends abruptly without linking back to the essay question or transitioning to the next point. Ending with a piece of evidence or a standalone fact leaves the reader without a sense of closure. A strong linking sentence should do two things: (1) briefly restate how the paragraph's argument answers the essay question, and (2) signal the direction of the next paragraph. For example: 'Although attachment theory provides a useful lens for understanding emotional development, it is important to also consider social learning theory, which emphasises the role of observed behaviour in shaping relationship patterns.'","PEEL,link,transition,improvement",80,No,,
